ID,state
14000,Pain
14001,Tears
14002,Despair
14003,Pain
14004,Death
14005,Fatigue
14006,Anxiety
14007,Fatigue
14008,Fatigue
14009,Pain
14010,Dread
14011,Tears
14012,Nausea
14013,Dread
14014,Pain
14015,Stress
14016,Pain
14017,Fatigue
14018,Fatigue
14019,Fatigue
14020,Dread
14021,Nausea
14022,Pain
14023,Pain
14024,Despair
14025,Nausea
14026,Despair
14027,Fatigue
14028,Anxiety
14029,Fatigue
14030,Nausea
14031,Stress
14032,Worthlessness
14033,Fatigue
14034,Tears
14035,Despair
14036,Nausea
14037,Despair
14038,Pain
14039,Worthlessness
14040,Worthlessness
14041,Death
14042,Death
14043,Fatigue
14044,Nausea
14045,Dread
14046,Tears
14047,Worthlessness
14048,Anxiety
14049,Dread
14050,Stress
14051,Dread
14052,Tears
14053,Tears
14054,Death
14055,Stress
14056,Fatigue
14057,Pain
14058,Nausea
14059,Nausea
14060,Death
14061,Death
14062,Despair
14063,Stress
14064,Tears
14065,Dread
14066,Death
14067,Fatigue
14068,Nausea
14069,Stress
14070,Worthlessness
14071,Despair
14072,Dread
14073,Nausea
14074,Despair
14075,Death
14076,Fatigue
14077,Worthlessness
14078,Pain
14079,Tears
14080,Worthlessness
14081,Anxiety
14082,Worthlessness
14083,Fatigue
14084,Stress
14085,Fatigue
14086,Worthlessness
14087,Tears
14088,Anxiety
14089,Stress
14090,Anxiety
14091,Fatigue
14092,Pain
14093,Nausea
14094,Pain
14095,Tears
14096,Death
14097,Nausea
14098,Death
14099,Dread
14100,Nausea
14101,Pain
14102,Tears
14103,Pain
14104,Anxiety
14105,Stress
14106,Despair
14107,Fatigue
14108,Tears
14109,Pain
14110,Pain
14111,Nausea
14112,Nausea
14113,Dread
14114,Pain
14115,Tears
14116,Death
14117,Fatigue
14118,Stress
14119,Fatigue
14120,Worthlessness
14121,Anxiety
14122,Despair
14123,Nausea
14124,Stress
14125,Anxiety
14126,Nausea
14127,Worthlessness
14128,Stress
14129,Stress
14130,Tears
14131,Fatigue
14132,Tears
14133,Nausea
14134,Anxiety
14135,Despair
14136,Nausea
14137,Pain
14138,Worthlessness
14139,Death
14140,Anxiety
14141,Nausea
14142,Anxiety
14143,Anxiety
14144,Nausea
14145,Stress
14146,Stress
14147,Death
14148,Tears
14149,Fatigue
14150,Fatigue
14151,Death
14152,Pain
14153,Worthlessness
14154,Death
14155,Fatigue
14156,Death
14157,Anxiety
14158,Nausea
14159,Anxiety
14160,Anxiety
14161,Tears
14162,Death
14163,Worthlessness
14164,Dread
14165,Despair
14166,Stress
14167,Tears
14168,Tears
14169,Despair
14170,Death
14171,Tears
14172,Tears
14173,Pain
14174,Pain
14175,Tears
14176,Worthlessness
14177,Anxiety
14178,Anxiety
14179,Tears
14180,Dread
14181,Nausea
14182,Pain
14183,Worthlessness
14184,Fatigue
14185,Despair
14186,Fatigue
14187,Stress
14188,Fatigue
14189,Despair
14190,Anxiety
14191,Worthlessness
14192,Dread
14193,Tears
14194,Death
14195,Death
14196,Fatigue
14197,Despair
14198,Dread
14199,Dread
14200,Fatigue
14201,Nausea
14202,Stress
14203,Tears
14204,Pain
14205,Despair
14206,Death
14207,Despair
14208,Pain
14209,Stress
14210,Dread
14211,Pain
14212,Worthlessness
14213,Worthlessness
14214,Fatigue
14215,Tears
14216,Anxiety
14217,Worthlessness
14218,Dread
14219,Pain
14220,Despair
14221,Despair
14222,Dread
14223,Pain
14224,Despair
14225,Dread
14226,Fatigue
14227,Dread
14228,Tears
14229,Stress
14230,Dread
14231,Stress
14232,Nausea
14233,Nausea
14234,Worthlessness
14235,Tears
14236,Worthlessness
14237,Tears
14238,Dread
14239,Despair
14240,Nausea
14241,Anxiety
14242,Nausea
14243,Despair
14244,Tears
14245,Despair
14246,Pain
14247,Worthlessness
14248,Despair
14249,Stress
14250,Fatigue
14251,Tears
14252,Tears
14253,Worthlessness
14254,Anxiety
14255,Death
14256,Worthlessness
14257,Tears
14258,Despair
14259,Tears
14260,Despair
14261,Anxiety
14262,Death
14263,Pain
14264,Pain
14265,Fatigue
14266,Dread
14267,Nausea
14268,Worthlessness
14269,Tears
14270,Pain
14271,Nausea
14272,Worthlessness
14273,Fatigue
14274,Dread
14275,Fatigue
14276,Despair
14277,Anxiety
14278,Worthlessness
14279,Dread
14280,Dread
14281,Stress
14282,Nausea
14283,Tears
14284,Death
14285,Despair
14286,Worthlessness
14287,Despair
14288,Anxiety
14289,Tears
14290,Pain
14291,Worthlessness
14292,Anxiety
14293,Tears
14294,Despair
14295,Pain
14296,Despair
14297,Despair
14298,Death
14299,Despair
14300,Death
14301,Despair
14302,Despair
14303,Nausea
14304,Worthlessness
14305,Nausea
14306,Dread
14307,Fatigue
14308,Stress
14309,Fatigue
14310,Stress
14311,Death
14312,Fatigue
14313,Despair
14314,Fatigue
14315,Pain
14316,Nausea
14317,Anxiety
14318,Pain
14319,Tears
14320,Fatigue
14321,Worthlessness
14322,Fatigue
14323,Stress
14324,Despair
14325,Worthlessness
14326,Fatigue
14327,Despair
14328,Fatigue
14329,Dread
14330,Fatigue
14331,Dread
14332,Tears
14333,Fatigue
14334,Despair
14335,Nausea
14336,Anxiety
14337,Fatigue
14338,Dread
14339,Despair
14340,Fatigue
14341,Pain
14342,Nausea
14343,Worthlessness
14344,Despair
14345,Death
14346,Fatigue
14347,Stress
14348,Fatigue
14349,Stress
14350,Death
14351,Despair
14352,Despair
14353,Stress
14354,Death
14355,Pain
14356,Pain
14357,Death
14358,Worthlessness
14359,Pain
14360,Tears
14361,Despair
14362,Anxiety
14363,Nausea
14364,Stress
14365,Dread
14366,Fatigue
14367,Anxiety
14368,Dread
14369,Worthlessness
14370,Anxiety
14371,Stress
14372,Death
14373,Death
14374,Death
14375,Fatigue
14376,Despair
14377,Despair
14378,Despair
14379,Nausea
14380,Despair
14381,Anxiety
14382,Anxiety
14383,Fatigue
14384,Dread
14385,Death
14386,Despair
14387,Fatigue
14388,Anxiety
14389,Stress
14390,Anxiety
14391,Death
14392,Worthlessness
14393,Worthlessness
14394,Nausea
14395,Pain
14396,Worthlessness
14397,Worthlessness
14398,Death
14399,Death
14400,Pain
14401,Worthlessness
14402,Anxiety
14403,Pain
14404,Anxiety
14405,Fatigue
14406,Worthlessness
14407,Death
14408,Pain
14409,Worthlessness
14410,Tears
14411,Stress
14412,Tears
14413,Stress
14414,Dread
14415,Pain
14416,Fatigue
14417,Despair
14418,Stress
14419,Fatigue
14420,Death
14421,Nausea
14422,Nausea
14423,Dread
14424,Fatigue
14425,Pain
14426,Despair
14427,Pain
14428,Pain
14429,Nausea
14430,Fatigue
14431,Tears
14432,Tears
14433,Tears
14434,Despair
14435,Worthlessness
14436,Tears
14437,Dread
14438,Despair
14439,Dread
14440,Fatigue
14441,Worthlessness
14442,Fatigue
14443,Dread
14444,Fatigue
14445,Anxiety
14446,Worthlessness
14447,Tears
14448,Stress
14449,Anxiety
14450,Tears
14451,Dread
14452,Tears
14453,Tears
14454,Anxiety
14455,Dread
14456,Despair
14457,Tears
14458,Worthlessness
14459,Anxiety
14460,Pain
14461,Stress
14462,Tears
14463,Despair
14464,Pain
14465,Tears
14466,Dread
14467,Stress
14468,Despair
14469,Fatigue
14470,Despair
14471,Fatigue
14472,Pain
14473,Fatigue
14474,Anxiety
14475,Tears
14476,Tears
14477,Dread
14478,Nausea
14479,Tears
14480,Fatigue
14481,Anxiety
14482,Nausea
14483,Fatigue
14484,Despair
14485,Tears
14486,Worthlessness
14487,Death
14488,Anxiety
14489,Nausea
14490,Worthlessness
14491,Despair
14492,Anxiety
14493,Pain
14494,Despair
14495,Worthlessness
14496,Despair
14497,Anxiety
14498,Death
14499,Despair
14500,Death
14501,Tears
14502,Anxiety
14503,Fatigue
14504,Death
14505,Anxiety
14506,Nausea
14507,Fatigue
14508,Worthlessness
14509,Anxiety
14510,Death
14511,Nausea
14512,Death
14513,Tears
14514,Tears
14515,Worthlessness
14516,Worthlessness
14517,Worthlessness
14518,Worthlessness
14519,Nausea
14520,Nausea
14521,Fatigue
14522,Nausea
14523,Death
14524,Tears
14525,Nausea
14526,Fatigue
14527,Fatigue
14528,Death
14529,Death
14530,Nausea
14531,Nausea
14532,Stress
14533,Anxiety
14534,Worthlessness
14535,Fatigue
14536,Anxiety
14537,Nausea
14538,Dread
14539,Tears
14540,Pain
14541,Despair
14542,Tears
14543,Dread
14544,Stress
14545,Fatigue
14546,Death
14547,Fatigue
14548,Despair
14549,Anxiety
14550,Tears
14551,Nausea
14552,Nausea
14553,Stress
14554,Dread
14555,Despair
14556,Despair
14557,Death
14558,Death
14559,Tears
14560,Stress
14561,Death
14562,Worthlessness
14563,Death
14564,Fatigue
14565,Despair
14566,Nausea
14567,Death
14568,Pain
14569,Fatigue
14570,Fatigue
14571,Despair
14572,Fatigue
14573,Fatigue
14574,Stress
14575,Anxiety
14576,Stress
14577,Fatigue
14578,Tears
14579,Anxiety
14580,Nausea
14581,Anxiety
14582,Anxiety
14583,Nausea
14584,Stress
14585,Worthlessness
14586,Nausea
14587,Anxiety
14588,Anxiety
14589,Fatigue
14590,Fatigue
14591,Stress
14592,Nausea
14593,Fatigue
14594,Worthlessness
14595,Fatigue
14596,Stress
14597,Fatigue
14598,Fatigue
14599,Despair
14600,Stress
14601,Despair
14602,Death
14603,Tears
14604,Pain
14605,Pain
14606,Pain
14607,Tears
14608,Worthlessness
14609,Despair
14610,Worthlessness
14611,Tears
14612,Worthlessness
14613,Stress
14614,Anxiety
14615,Pain
14616,Dread
14617,Nausea
14618,Dread
14619,Nausea
14620,Anxiety
14621,Anxiety
14622,Worthlessness
14623,Pain
14624,Nausea
14625,Tears
14626,Stress
14627,Worthlessness
14628,Tears
14629,Death
14630,Death
14631,Death
14632,Anxiety
14633,Stress
14634,Anxiety
14635,Anxiety
14636,Death
14637,Fatigue
14638,Pain
14639,Anxiety
14640,Worthlessness
14641,Worthlessness
14642,Fatigue
14643,Nausea
14644,Worthlessness
14645,Anxiety
14646,Stress
14647,Tears
14648,Tears
14649,Worthlessness
14650,Death
14651,Worthlessness
14652,Despair
14653,Despair
14654,Tears
14655,Dread
14656,Worthlessness
14657,Pain
14658,Tears
14659,Stress
14660,Death
14661,Tears
14662,Worthlessness
14663,Tears
14664,Nausea
14665,Stress
14666,Anxiety
14667,Nausea
14668,Tears
14669,Stress
14670,Death
14671,Dread
14672,Tears
14673,Stress
14674,Stress
14675,Despair
14676,Death
14677,Pain
14678,Dread
14679,Anxiety
14680,Worthlessness
14681,Dread
14682,Dread
14683,Worthlessness
14684,Dread
14685,Worthlessness
14686,Worthlessness
14687,Nausea
14688,Stress
14689,Tears
14690,Fatigue
14691,Dread
14692,Anxiety
14693,Death
14694,Nausea
14695,Anxiety
14696,Pain
14697,Tears
14698,Nausea
14699,Stress
14700,Death
14701,Tears
14702,Despair
14703,Tears
14704,Worthlessness
14705,Nausea
14706,Fatigue
14707,Despair
14708,Despair
14709,Pain
